m/z;Intensity
100.3707809;29.20000076
101.4030609;80.84121704
101.4231339;13.04166698
101.5966568;17
101.6071625;9.240385056
101.7828445;21.25
101.7911148;20.25
101.7972488;14.125
101.8051987;9.0625
102.129364;5.125
102.1397476;24.28409004
102.1570587;21.5625
102.1697159;11.66666698
102.234726;10.25
102.3237686;14.625
102.3310471;11.4464283
102.901825;5.5
104.4392014;59.33333206
104.4638672;7.083333492
104.591713;10.01785755
104.6964874;28.24264717
104.7855377;46.06617737
104.7940598;23.08333397
104.9041672;6.333333492
105.4621735;8.017857552
105.5867691;19.125
105.8067245;105.0400009
105.8205719;13.25
105.8438644;7.333333492
106.5965271;18.89999962
106.6100845;6.125
106.6228027;22.04166603
106.669632;16.04166603
106.831131;52.18382263
106.8380966;25.25
106.8450623;14.4464283
106.8670349;19.10227203
106.8747787;10.34722233
106.9208069;6.446428776
107.1508026;13.16071415
107.3188782;36.25
107.3252869;14.125
107.3658218;10.125
107.6865616;10.68055534
107.6940842;14.375
107.7977676;7
108.8675232;12.33333302
108.9593735;97.89351654
108.9710693;50.53289413
108.9789276;17.0178566
108.9914703;7.017857075
109.83461;21
109.8415527;11.08333302
109.856163;11.04166698
109.8660355;7.224999905
110.4671936;41.00961685
110.4777985;25.20000076
110.4887772;6.125
110.4964828;8.102272987
110.8997726;12.92045498
111.669014;19.5625
111.6761551;7.625
112.460762;11.01785755
112.4866791;7.0625
112.9145355;7.102272511
113.8766174;25.22500038
113.8845673;14.04166698
113.9653702;87.14286041
113.9853745;15.25
113.9932938;11.03125
114.005867;6.125
114.0363693;24.3214283
114.0508652;6.025000095
114.5096588;14.01785755
114.6706772;27.45000076
114.6787338;12
114.8254318;43.18382263
114.8324661;18.5
114.8464432;38.07500076
114.8667145;5.160714149
116.3122177;35.02272797
116.3254089;10
116.7232666;5.224999905
116.8682938;20.2857151
116.8747177;10.08333302
117.9996948;49.59999847
118.0119476;18.02499962
118.0271683;6.025000095
118.2160416;38
118.2262955;21.625
118.9445648;174.625
118.9551163;15.22500038
118.9740448;7.125
118.9866714;5.017857075
119.0409241;15
119.0580368;5.025000095
119.1305695;74
119.1526337;9.024999619
120.9477386;13.00961494
120.9668274;5.025000095
121.0270309;20.375
121.0356369;7
121.0494995;194.7894745
121.0612793;40.00378799
121.0718155;15.16666698
121.0796585;6.083333492
121.0934601;7.446428776
121.1023712;75.13587189
121.116066;22.0178566
121.163208;12.125
121.220665;12.25
121.62883;15
121.8899765;39.34722137
121.9014282;18.125
121.9098663;16.79999924
122.0825882;46.375
122.1012192;6.5
122.4195175;36.00735474
122.4292297;15.16666698
122.4367828;11.01388931
122.8619537;8.0625
122.8734283;6.25
123.0448685;107.0197372
123.0524139;31.125
123.0680313;13.01136398
123.0757599;8
123.3060074;10.125
123.5066986;26.28409004
123.5232849;6.017857075
124.9562836;39.07692337
125.090538;26.28125
125.0998688;8.017857552
125.9249802;32.02500153
126.110672;46.2857132
126.1900253;5.041666508
127.0406723;31
127.0483017;17.02499962
127.1307602;6.333333492
127.1650391;5.5
127.4765701;8.375
127.4881821;11.5
127.8863831;17.67499924
127.8937759;9.0625
128.6572723;8.0625
129.5466614;22.4464283
129.556839;7.446428776
129.9781647;11.4464283
129.9907532;13.08653831
130.1580048;246.375
130.1682129;65.875
130.1768799;47.20000076
130.1948242;10
130.763092;31.0178566
130.8132477;19.4464283
131.0720825;266.0113525
131.0800323;96.64015198
131.0962219;30.08333397
131.104248;25.2857151
132.6609344;25.67499924
132.6688843;19.22500038
132.675766;8.446428299
132.7178955;13.16071415
133.0052948;34.33333206
133.0132141;56.6428566
133.0225677;11.19999981
133.0307465;10
133.3173523;6.025000095
133.6373444;22.01388931
135.5606079;41.34722137
135.5746002;25.75
135.5855255;15.18382359
135.5931091;7.224999905
135.605835;6.160714149
135.6163635;19.78125
135.6265717;8.125
135.6378632;9.160714149
136.1542358;25.1428566
136.1633606;11.4464283
136.2032013;9
136.4283447;10
137.0624084;31.10227203
137.0789795;11.125
137.8564758;10
138.0054169;5
138.8149872;52.125
139.0625153;10
139.817337;17.01136398
140.5645142;81.8888855
140.5842896;11.125
140.5946198;5.224999905
140.609375;5.017857075
142.0691986;5.333333492
143.8534393;25.08333397
143.9203796;60.01136398
143.9317627;38.08333206
145.0290222;53.07500076
145.0457916;7.25
146.1328583;37.65441132
146.1448212;13.25
146.1569061;10.00961494
147.5652771;51.00403214
148.0550842;96.5
148.0806122;20.03125
148.1097565;20.88970566
148.1163025;18.24038506
148.128891;6.041666508
148.2182617;21.07500076
148.2264252;7.025000095
148.2350464;5.083333492
148.7054443;13.01388931
148.7240143;5.017857075
149.5217743;7.347222328
150.0762482;100.0059509
150.1056824;10.22500038
150.4513702;28.00543404
150.460968;8.625
150.7681427;24.79999924
151.038681;62.72023773
151.0541687;16.79999924
151.0656891;5.017857075
151.2627869;8.5625
152.1054382;25.0625
152.1180115;9.050000191
152.3649902;6.125
152.7333374;38.0625
152.7466583;19.04166603
152.7565002;11.22500038
153.0545044;51.28017426
153.0772552;6.050000191
153.5682373;7.446428776
153.7143707;41.09999847
153.7221222;20.25
154.0265808;14.00833321
154.1172943;44.03125
154.1369629;15.04166698
154.1602631;5.025000095
155.0354004;62.36029434
155.0496216;22.5714283
155.0588684;5
155.2118683;8.333333015
155.2753143;15.01136398
155.397583;12.125
156.9207153;39.28409195
156.9353638;45.1428566
156.9506989;8.024999619
157.2620697;18.08333397
159.5957184;15.375
159.6038208;18.24038506
159.6128998;6.0625
159.9796448;34
160.0001068;50.90000153
160.0172424;15.02499962
160.0906219;30.25
160.1000519;224.375
160.1158905;11.00961494
160.1356812;20
160.1455688;13.125
160.1701813;9.5625
160.2060394;7
161.1148834;95.7857132
161.1419067;10.05000019
161.1551208;7.125
162.0559998;36.02777863
162.0728149;10.375
163.040451;166.6318512
163.049118;16.5
163.0667572;11.125
163.0773163;6.083333492
163.580368;14.4464283
163.6151276;7.125
164.4558258;14.02499962
165.0924072;113.6686478
165.1103668;15.33333302
166.6996307;12.284091
166.7051849;5.25
166.7177887;5.041666508
166.7262878;6.224999905
167.0346375;57.68055725
167.0517273;17.28409004
167.2993469;12.10227299
167.7600861;10.01785755
167.8748169;14.05000019
168.5628967;9.225000381
169.3688049;6.446428776
169.3886414;11.16666698
169.4052124;22.33333397
170.0954437;16.125
170.3335571;20.33333397
170.9636841;6
171.0803528;143.875
171.0998688;36.02500153
171.118576;10.16071415
171.8871307;20.1875
171.8995972;10.4464283
173.9476471;5.160714149
174.2072906;8.225000381
174.244339;30.53125
174.2519226;36.34722137
174.2645721;23.25
174.2731323;10
174.2909088;7.5625
175.1922607;28.59558868
176.5943909;54.24499893
176.620163;5.017857075
177.055954;79.40000153
177.0706482;19
177.0914459;10.04166698
177.1006927;7.125
177.5043488;6.125
177.6753998;32.24264526
177.6838226;19.00961494
178.5237427;27.67499924
178.5369415;7.011363506
178.5470123;5.160714149
179.0731964;57.25
179.0946503;11.0625
179.1060944;7.0625
181.0875244;88.14881134
181.1000366;35.625
181.1197662;10.125
181.1313629;10.92045498
181.273407;85.88928223
181.3014526;18.68055534
181.309845;6
181.5303955;7.333333492
181.5418396;9.083333015
182.2257538;44.04166794
182.2390289;33.44643021
182.2525787;14.625
182.2654724;9.013889313
182.2795715;6.025000095
182.6995392;9.0625
183.0646515;29.48026276
183.0747833;18.375
183.1785583;15.125
184.0754089;168.0416718
184.0917053;39.45000076
184.1006012;27.375
186.5539398;35.09999847
186.5643158;15.16071415
186.5809021;7.333333492
187.6079865;23.25
187.6194916;13.22500038
187.6325836;5.224999905
188.7688293;17.4464283
188.8697662;8.160714149
188.9485779;16.04999924
189.1062164;20.04166603
189.1196442;6.25
190.3728333;19.20000076
190.3818817;26
190.4022522;6.25
190.6390991;23.25
190.8276367;15.0625
191.1622314;6.125
191.1717682;6.041666508
192.0516968;105.3218079
192.0643463;11.125
192.0851135;5.025000095
192.090332;7.333333492
192.4890137;10.22500038
192.4974365;8.375
193.2582397;19.875
193.2690887;10.24038506
193.8733521;16
193.8921967;6.446428776
194.1197052;32.25
194.129837;7.017857075
194.3734131;39.5625
194.396759;13.14285755
194.4208069;5.125
195.0985107;8.225000381
195.1099091;13.75
195.9564667;47.06617737
