m/z;Intensity
100.2281189;13
100.942955;66.2228241
100.9627075;17.04166603
101.7828598;11.5
102.4443512;13.22500038
102.4522171;18.125
102.4601059;8.225000381
102.5686951;6.160714149
102.6583939;6.0625
103.0559769;6.125
103.2259369;5.017857075
103.9808426;14.10227299
103.9880447;14.03571415
104.3216629;20.40833282
104.3290329;10.68055534
104.3391037;6.017857075
104.5409393;31.45000076
104.6091614;19.36029434
104.6178818;14
105.1341782;10.5
105.3422928;95.0029068
105.356575;20
105.3685684;10.125
105.381546;6
105.898735;31.55681801
105.9130859;9.225000381
105.9206696;7.025000095
109.0117874;24.79999924
109.0228119;11.25
109.0382385;21.00657845
109.0512772;6.041666508
109.2432709;11.05000019
109.4416656;33.32236862
109.4480286;23.33333397
109.4594879;9.102272987
109.8785477;34
109.8857803;29.08333397
109.9044647;8.25
110.4080429;12.25
111.0445099;129.0762177
111.0519714;52.0178566
111.0667725;14.02499962
111.0738831;6
111.0940247;7.013888836
111.4490509;37.77884674
111.4605331;9.013889313
111.4678268;21.00833321
111.9111404;30.40833282
111.9250259;13
112.789566;8.375
112.8052521;5.017857075
113.0586624;59.84500122
113.0711212;152.0178528
113.0801773;11.0625
113.0901489;18.77884674
113.0982056;10.80000019
113.1074524;10.92045498
113.1206131;7.041666508
113.178215;36.47115326
113.1931152;26.00833321
113.2841415;15.34722233
113.2929993;11.01785755
113.7406082;24.07500076
114.3789368;44.01388931
114.3877869;23.375
114.3960342;11.04166698
115.0395355;193.0073547
115.0539627;126.578949
115.0681915;15.92045498
115.0879669;7
115.1056366;6.041666508
115.5428238;20.24038506
116.5555878;5.083333492
116.8836441;104.1911774
116.8913116;60.20833206
116.9049301;13.125
116.9134521;10.4464283
118.0199966;29.68055534
118.0332336;32.36111069
118.040657;10.22500038
118.151268;53.05921173
118.1606522;21.08653831
118.1778564;5.017857075
118.9547882;7.125
119.0495758;436.0090942
119.0717545;50.88235474
119.0841904;14
119.0916061;13.19999981
119.0974503;8.050000191
119.2416;13.04166698
119.2476883;12.125
119.2874298;5.125
119.8324966;17.5
119.9379578;25.52083397
119.9462051;8.347222328
119.9547043;26.66666603
120.2354736;36.125
120.2455673;9.024999619
121.039032;180.0023651
121.0509415;350.7575989
121.062088;55.0027771
121.0783768;21.79999924
121.090416;13.375
123.2447281;23.0625
123.2551117;13.34722233
123.2614365;6.25
123.5693207;23.22500038
123.5769348;11
123.6731796;57.32661438
123.6927643;6.025000095
124.0405579;106.6447372
124.0522842;19.44444466
124.0643005;11.02499962
124.7817688;58.7857132
124.7933731;16.75
125.0254059;55.20833206
126.4046936;6.125
126.5415115;6.083333492
126.6710739;15.22500038
127.4351044;12.625
127.4435959;5.125
127.489624;45.34999847
127.5036469;11.625
127.5184631;8
127.7090836;47.1428566
127.7208099;16.02499962
127.7281265;10.08333302
127.7421951;6
128.0462494;42.375
128.1074524;108.3472214
128.1292877;24
128.1390228;10.01785755
128.3952637;16.20000076
128.407196;18.01388931
129.1223907;29.0178566
129.1363068;32.04999924
129.1439819;10
129.1617584;5
129.8158722;8.160714149
130.0497742;218.0158386
130.07901;20.20000076
130.0956879;8.041666985
130.1025848;10.68055534
130.1200867;5.5
130.1598969;95.10227203
130.1724243;18.02499962
130.1798401;14.66666698
131.031662;67.2228241
131.0501251;7
131.1436005;5.083333492
132.6255646;20.16666603
132.6369019;5.25
132.9805603;22.08333397
132.9881897;12.01388931
133.3571777;9.284090996
133.9760742;38.22499847
133.9918823;6.025000095
134.0290222;5.5
134.0566711;187.3062439
134.079834;21.20000076
134.0893707;15.75
134.0986328;9.024999619
134.1205444;12.0065794
134.130661;6.160714149
134.2136841;81.66666412
134.2266388;19.22500038
134.2350006;13.0625
134.440506;29.01136398
134.4492493;16.55681801
134.4650421;9.556818008
134.5574036;25.00833321
134.5699005;5.041666508
135.2128906;9.083333015
136.0405426;121.0892868
136.0641632;15.5625
136.4678802;39.55681992
136.4766083;15.00961494
137.0599518;1974.29187
137.0758209;238.240387
137.0830231;156.7397614
137.0910187;59.69444275
137.1024475;21.16666603
137.1128387;23.44444466
137.1239929;16.16346169
137.1627045;28.5625
137.200058;8.011363983
137.3064728;8.225000381
137.3990936;25.24038506
137.40802;5.224999905
137.9837646;40.125
137.9920807;11.5625
138.0619049;206.0803528
138.0762329;58.21052551
138.083252;44.88970566
138.0978546;11.92045498
138.1148529;10.16071415
138.6892395;26.56818199
138.6982574;8.5625
139.8089447;65.125
139.8272552;13
140.0723572;148.9004211
140.1263123;5.25
140.7567596;20.22500038
140.9652863;34.20454407
140.974472;10.5625
140.9820404;5
141.0360718;16.10227203
141.2987671;42.02500153
141.309433;25.77884674
141.3267212;6
141.5167847;8
141.6552734;13.16447353
142.048584;211.6750031
142.0710449;33.02500153
142.085083;427.1595154
142.1029663;77.28017426
142.1223907;15.25
142.134613;16.33333397
142.1456909;8.0625
142.2751923;9
142.2843475;14.01785755
142.9754028;25.02272797
143.2810822;31.0357151
143.2950897;27.125
143.3072968;9.333333015
144.1035919;84.875
144.1274414;5.625
145.487381;16.28125
146.2284851;45.59558868
146.2408142;17.0625
148.7023163;32.00735474
148.7208862;9.333333015
149.0456085;37.05356979
149.0538788;19.08333397
149.5229034;39.24038315
149.8143311;33.05921173
149.8255463;12.08333302
150.1785736;43.26666641
150.1869659;21.01136398
150.1938782;15
150.2038727;6.013888836
152.0164032;6.125
152.066925;295.0016174
152.0898895;41.0357132
152.1070251;21.0178566
152.119339;15.284091
152.211853;21
152.4414825;24.07500076
152.7031555;19.0357151
152.9758453;26.04891396
152.9846802;63.19758224
153.0014648;30.24500084
153.0258636;46.67499924
153.0353088;18.375
153.0437775;13.5625
153.0702362;68.125
153.0843506;27.02499962
153.1004639;12
153.1090698;5.083333492
153.1208801;5.25
153.8292389;119.7889328
153.8452148;15.01388931
153.8585815;46.57143021
153.8762817;20.53125
153.8881836;5
153.9748383;23.24038506
153.9822693;11.33333302
153.995224;16.25
154.0856323;467.4404602
154.1103973;24.0357151
154.1184692;40.56018448
154.1318207;18.03125
154.1425781;22.0714283
154.8262482;14.33333302
154.9397125;10.05000019
154.9555054;39.84090805
155.0652618;5.224999905
155.0819855;126.6923065
155.1105042;12.01785755
155.1280212;5.041666508
155.1384735;5.017857075
155.1493073;5.083333492
155.4293823;16.04166603
155.524765;21.40833282
156.0667267;65.25
156.092392;10.02499962
157.0135956;93
157.0206146;47.54166794
157.0373077;8.160714149
157.4039612;18.47115326
158.2580719;56.14881134
158.2731018;11.5
158.6513672;59.640625
159.0272369;108.4166641
159.0497131;10.92045498
159.0642548;9.008333206
160.0844269;64.34722137
160.0960388;27.1428566
160.1044617;8.013889313
160.8813324;10.14285755
160.8896637;12.16071415
160.8988342;20.25
161.1194153;28.02083397
161.1282196;19
162.0519714;37.33333206
162.0751495;68.65760803
162.2532654;18.77884674
162.2636414;10
162.9345398;33.16447449
163.0826263;59.72023773
163.0916138;27.4464283
163.1017303;10.375
163.7358093;25.40833282
163.745224;11
164.1593323;5.125
165.989624;19.22500038
166.0004272;6.025000095
166.0491028;69.68144989
166.0632935;60.15000153
166.0751801;88.13851166
166.0858307;22.125
166.0932465;8.5
166.3063202;10.25
166.3174438;8.5625
166.6727448;12.19999981
167.0579834;56.56018448
167.0761414;13.125
167.0943909;7.0625
167.425354;17.45000076
167.6445007;24.20000076
167.6605225;12.125
169.5212708;5.125
170.0609741;42.5625
170.0822906;10.33333302
170.911377;30.25
170.9202576;11.125
171.1156006;30.04166603
171.1358948;12.14285755
171.5179138;44
171.52771;20.375
171.7910461;12.04166698
172.0960846;151.3333282
172.122406;21.375
172.1316528;6.25
172.1578064;9.166666985
173.0079193;11.75
173.0684814;52
173.0836334;15.33333302
175.253479;27.06617737
175.2622986;16.0178566
176.0989685;8.125
176.1202698;12.5
176.6329041;54.81818008
176.7886505;5.224999905
176.8017731;5.333333492
177.0315857;98.6939621
177.0569153;119.4628372
177.079422;20
177.1141052;8.050000191
177.5767212;6.025000095
178.8361053;42.00595093
178.8446808;8.125
179.0480194;110.2965698
179.0631104;28.34722137
179.0728302;34.06617737
179.0842896;10.08333302
179.0984039;12.284091
181.0613708;66.1607132
181.0780945;21.04166603
181.4025269;16.47115326
181.8981628;6.625
182.0454712;116.9646225
182.0926819;6.375
184.0545349;19.40833282
185.859375;18.0178566
185.8710022;6.017857075
186.0775452;9.041666985
186.5434265;23.00833321
186.9903107;36.25
187.002182;15.02499962
187.0172272;6.224999905
187.5301971;13
187.5444794;5.017857075
187.8322906;27.03125
187.8446503;13.0625
188.0898438;136.1716156
188.0985718;82.55769348
188.1173859;13.33333302
188.1303253;154.2250061
188.1486969;37.28409195
188.1572571;24.60000038
188.1754456;9
188.194458;8
189.0038147;182.6044464
189.0270691;29.02499962
189.0412292;12.19999981
189.0531769;8.083333015
189.0677948;5.0625
189.0797577;11.05000019
189.1696777;37.66666794
189.1936493;9.5625
189.3959351;10.80000019
189.4043274;10.44999981
189.4155273;6.25
189.4286194;6.0625
189.884079;40.22499847
191.0480957;55.1428566
191.0619507;21.55681801
191.0915833;6
191.2614136;33.69444275
191.2794037;31.20833397
191.2915039;12.16071415
191.3156128;5.083333492
192.4545898;23.79999924
193.7447205;26.00595284
193.7528687;16.22500038
193.8365936;10
193.8486938;8
193.9764252;6.041666508
193.9865723;8.041666985
194.0591125;140.0449982
194.0687714;76.0625
194.0886383;12.75
194.1100006;8.050000191
194.1221161;5.025000095
194.134201;6.125
194.2019806;11
194.6168518;8.125
195.7243652;13.4464283
196.4432831;5.224999905
196.4550476;10.01388931
196.6448975;10.0625
196.8139954;68.96195984
