m/z;Intensity
100.0168457;29.5
100.0302887;5.083333492
100.2197495;9.086538315
100.4584351;15.78125
100.4648666;9.083333015
100.4719162;141.3461609
100.4842682;40
100.7742081;50.55769348
100.7895813;6.041666508
100.8484116;16
100.8816986;9
100.8995895;7.446428776
101.0765991;60.44643021
101.0906906;10.125
101.1314926;40.59558868
101.1448288;7.041666508
101.2730942;30.04166603
101.2813721;5.041666508
101.3617172;6.224999905
101.4285049;38.02083206
101.436142;19.55681801
101.4460678;31
101.4559021;14.4464283
101.4635925;5.017857075
101.5516052;48.84500122
101.5603714;47.78125
101.5803986;21.28409004
101.63974;38.11184311
101.6471939;37.1875
101.6543884;9.050000191
101.6628723;5.333333492
101.6999207;13.14285755
101.7325668;32.77884674
101.7435913;23.04166603
101.8944931;10
101.9010468;14.25
101.909668;18.33333397
102.0592499;11.19999981
102.069046;12.875
102.08078;28.20833397
102.1050262;7.013888836
102.1431732;40.53289413
102.2488708;17.0178566
102.261055;20.0625
102.2694702;9.013889313
102.2999725;7.050000191
102.4054184;36
102.4138641;7.041666508
102.4246292;23.0178566
102.4322815;8.125
103.0998383;11.68055534
103.1095734;28.08333397
103.1292191;5.017857075
103.6113739;8.0625
103.761055;45.2857132
103.7732925;52.13851166
103.7829666;16.07500076
103.7871704;12.33333302
103.828949;6.025000095
103.9348602;6.224999905
103.9476395;6.013888836
103.9547272;10.04166698
104.2390289;20.5625
104.2833939;41.75
104.2930984;13.02499962
104.5529022;13.66666698
104.7074432;17.375
104.7274399;152.7756348
104.7333832;84.5
104.7396164;76.67129517
104.7474442;34.55769348
104.7553711;10.44999981
104.7639694;14.02777767
104.9224396;15.16666698
104.9988022;12.04166698
105.019783;9.125
105.0723724;45.92045593
105.0816727;14.02499962
105.4536591;20.88970566
105.4689255;10.125
105.575882;7.125
105.5864258;17.33333397
105.9658051;78.00595093
105.9737244;41.75
105.9861755;53.55769348
105.9942322;56.15000153
106.1728516;28.34722137
106.1803513;18.02499962
106.5454407;19.77884674
106.5545959;16.92045403
106.5657425;6
106.6298294;29.59558868
106.8179932;24.79999924
106.8277283;6
106.9928284;33.0357132
107.0001678;15
107.2655106;25.04166603
107.4825439;32.16447449
107.4943924;25.33333397
107.6085281;17.01388931
107.6805038;9.013889313
107.9371872;9.5625
107.9500656;12.5
107.9582977;7.0625
108.1075287;8.680555344
108.1243896;200.0178528
108.1437073;32.57143021
108.1636047;9.5625
108.2151031;6.041666508
108.5015793;25.4464283
108.7014236;9
108.9757156;32.0625
108.9895935;11
109.0295334;57.00463104
109.1009827;289.125
109.1222839;26.08333397
109.1319427;7.75
109.140419;9.347222328
109.1474304;10.01136398
109.1589432;11.68055534
109.1835556;58.10080719
109.3747482;37.36363602
109.4773254;29.75
109.4896622;13.16346169
109.5878143;17.79999924
109.5979919;12.03571415
109.7692032;12.375
109.7762985;14.18382359
109.783577;8.041666985
110.1044006;96.36890411
110.1133957;30.04166603
110.1315079;8
110.5585098;7
110.7470016;19.10227203
110.7535477;11.125
110.8613815;29.47115326
110.8727722;13.01785755
111.5526047;23.00657845
111.5598068;18.01388931
111.5692368;6
111.6409988;10.16071415
111.6501083;53.17307663
111.6572495;22
111.6840897;9.225000381
111.8521347;23.53289413
111.9231415;50.08333206
111.9339752;20.34722137
111.9405441;8.625
111.9548798;10.0625
111.9918823;21.24038506
112.0010452;10.25
112.2126083;28.1607151
112.2288208;8.013889313
112.2747726;34.25
112.2882385;8.125
112.3479462;10.125
112.9218674;10.01388931
113.1118317;14.0625
113.1940308;22.66666603
113.2002106;16.22500038
113.21315;9.5625
113.5400925;28.77777863
113.6236877;19.5625
113.6351852;6.041666508
113.8356323;13
114.181221;23.34722137
114.1954956;6
114.3682022;9
114.3851471;10.02499962
114.4393768;53.91847992
114.4515839;15.04166698
114.4609909;14.40833378
114.4680634;35.72023773
114.4889908;10
114.9616089;6
115.0040588;31.20000076
115.0193634;5.017857075
115.0684204;10.4464283
115.2013397;28.5714283
115.2069778;21.8928566
115.2163239;8.041666985
115.4865417;8.5
115.5867996;6.041666508
115.6223755;44.40833282
115.6347351;9.160714149
115.8199463;12.05000019
115.8315048;16.0625
115.8630219;7.013888836
115.970993;34.44643021
115.9807892;9.125
116.0282364;14.22500038
116.33461;26.01136398
116.3459702;10.05000019
116.3572006;7
116.5256882;10.02499962
116.731369;10.02499962
116.7659454;18.01388931
116.7763901;7.875
116.7988586;79.66864777
116.8078461;24.55769157
116.8300247;11.01785755
116.8798294;8.125
117.0705872;101.390625
117.0831833;27.125
117.0911789;195.2545166
117.0994186;6.0625
117.1122665;37.5
117.1194458;16.16666603
117.1331558;18.16346169
117.1423874;9.446428299
117.1498184;7.224999905
117.168045;32.00961685
117.9010239;27.39999962
117.9181976;17.1607151
117.9769287;67.33654022
117.9883423;27.222826
118.032959;40.02777863
118.0450974;7.5
118.0498199;8
118.3583679;135.1428528
118.3803558;12
118.3879166;8.013889313
118.4714584;8.041666985
118.5973969;6.125
118.946022;21.0178566
118.9575424;6.017857075
119.3443832;7.125
119.5766983;12.68055534
119.751442;9.446428299
119.7603531;5.017857075
119.8476944;57.04891205
119.8553619;35.00735474
120.0805817;21.125
120.0880814;12.125
120.1563492;17.16666603
120.6079407;13.10227299
120.6177597;7.041666508
121.0373459;29.03125
121.054718;14.01136398
121.1567993;42.875
121.1650162;18.22500038
121.192688;51.30769348
121.30233;11.25
121.3916397;10.25
121.7269821;70.96982574
121.7372437;31.00833321
122.696228;59.02500153
122.8504791;34.05921173
122.8607025;9.5
123.1315231;18.0357151
123.1376801;11.04166698
123.1533737;26.34722137
123.1990662;9.050000191
123.2295609;22.16666603
123.2382813;12.22500038
123.3421707;6.041666508
123.432457;78.0083313
123.4399567;50.25
123.4556503;11
123.4648056;7.333333492
123.4903946;8.009614944
123.5797958;24.78125
123.5907974;9
123.6648483;22.24264717
123.7442856;33.40833282
123.7569427;7
123.9077301;6.017857075
123.9947662;12.00833321
124.0025024;7.050000191
124.0121765;6.017857075
124.0427475;27.16666603
124.0514069;11.125
124.1379852;76.00463104
124.1492996;61.21120834
124.1568146;32.75
124.1723785;6.333333492
124.2631912;18.375
124.2746887;13.4464283
124.4940796;39.10227203
124.5059738;9
124.6024017;30.40833282
