m/z;Intensity
100.1126938;238.4198151
100.1264343;36.125
100.1338043;27.90131569
100.1431808;12.5
100.1513596;10.80000019
100.5313263;29.00735283
100.5387497;12.0625
100.6392975;22
101.314888;21.14880943
101.3244858;6.75
101.6227036;11.0625
101.7666016;15.01388931
101.7735138;9.050000191
102.5455856;8.446428299
102.6412735;33.04166794
103.0536728;136.4404755
103.0649796;52.77777863
103.0745163;15
103.0859833;9.75
103.1010208;6.25
103.4719772;27.18382263
103.4805679;5.017857075
103.4911804;12.14285755
103.5187759;23.22500038
103.6025238;5.083333492
104.0169678;15.875
104.2440033;6.224999905
104.5119095;10.34722233
104.5503464;43.25
104.5574417;14.08333302
104.5642395;20.4464283
104.5720062;12
105.0176315;8.25
105.3911285;29.22500038
105.401062;21.1607151
105.4142151;9.083333015
105.8987656;5.5
106.3327103;10.01388931
106.3387604;14.33333302
106.3470612;7.013888836
106.5025482;19.28409004
106.6374741;14
106.6771393;39.34722137
106.8348999;7.013888836
106.9429321;157.9230804
106.9550781;38.04166794
107.0501938;126.5706558
107.0744705;11.33333302
107.9682083;6.75
108.0523529;132.3840942
108.0736389;12.125
108.0827408;11.01785755
108.1334381;8
108.1465149;40.4821434
108.6656876;19.22500038
108.6742401;10
108.8554153;18
108.868103;9.009614944
109.4707108;16
109.4781113;6.017857075
109.5785751;40.22282791
109.5855026;27.18382263
109.5925217;17.02777863
109.9055481;6.050000191
110.5018921;12
110.7614899;111.4711533
110.7841492;10.22500038
110.7901001;11.0625
110.8006668;6.5
110.8104248;5.224999905
111.0944901;38.03125
111.2128525;35.16666794
112.5396347;18.5714283
112.5476227;15.22500038
112.5584793;5.083333492
112.5755081;34
112.5934906;9
112.6907425;37.44643021
112.6991653;14.25
112.9218445;6.0625
113.1083679;7.0625
113.4971619;69.02083588
113.5056763;43.14881134
113.5126724;26.66666603
113.5235291;9.875
113.5346451;16.75
113.5427017;14.67500019
113.7116547;29.25
113.7207336;12
113.7346954;23.875
113.7518463;6.446428776
113.8606491;11.25
113.922142;10.4464283
113.9639587;108.0833359
113.9861526;17.125
114.1241531;23.75
114.445076;42.11184311
114.4516754;70.08333588
114.4730301;13.16346169
114.4798965;9.024999619
115.0559921;21.45000076
115.2043839;15.55681801
115.2145309;8.125
116.9991913;13.125
117.0365677;20.00833321
117.0669098;5.224999905
117.3003006;22.5714283
117.3079376;13.22500038
117.3167267;9.013889313
117.5270157;17.25
117.7103729;40.00735474
117.7189407;23.625
117.7301025;7.375
117.8732605;24.2857151
117.879631;16.08333397
117.8894501;8.199999809
118.0523911;202.165329
118.0660019;26.79999924
118.0744629;17.20833397
118.0885162;40.29166794
118.0986023;9.25
118.9408722;117.1600876
118.965416;206.6000061
118.979599;46.00833511
118.9873428;29.89999962
118.9954681;19.03125
119.0030518;14.01136398
119.0145798;8.160714149
119.0257568;7.009615421
119.0344086;92.49324036
119.0451965;98.04166412
119.0569687;49.3878212
119.0730743;6.025000095
119.0888367;122.3088226
119.1500168;14.5
119.1641464;5
119.9008026;9.083333015
120.002327;12.44999981
120.0497894;56.32143021
120.0606918;28.04999924
120.0880814;251.282608
120.1088943;32.02500153
120.120575;21.66666603
120.1372299;16.0178566
120.1484909;13
120.2989655;20.00595284
120.3418427;10.125
120.3488846;22.24038506
120.3573303;13.4464283
120.4082413;12.04166698
120.8157654;10.19999981
120.8693466;23
121.052124;169.5562439
121.0706711;23.04166603
121.0909958;11
121.1004944;6.160714149
