m/z;Intensity
100.4706573;42.26630402
100.4841995;16.04166603
101.1945114;62.22499847
101.2045593;30.0625
101.213501;8
101.3550873;8.017857552
101.567337;6.224999905
102.0465317;54.24264526
102.1083603;39.06617737
102.1275864;5.333333492
102.2569351;11.875
102.3176041;36.00658035
102.3241653;13.16071415
102.4546738;5.025000095
102.740593;21.24264717
102.7524948;7.333333492
103.0833664;10.03125
103.3146057;50.0178566
103.3290634;12.16071415
103.3692932;5.013888836
103.4489059;14.40833378
103.4751434;64.09999847
103.4876633;11.08653831
103.8850784;33.67499924
103.8980713;6.0625
104.723793;33.72023773
104.7297134;10.125
104.7426453;37
104.7492523;25.33333397
104.7596054;32.01388931
104.8005219;27.52083397
104.9391174;7.375
105.4481354;9.083333015
105.4547729;9.25
105.5527191;14.16071415
105.5599442;56.44444275
105.5671005;17.125
105.5757217;12.92045498
105.7718124;17.625
106.0679245;125.1904755
106.0769119;60.125
106.0856934;19
106.0991058;5.375
106.1125336;9.011363983
106.4008408;5.017857075
106.9259491;21.33333397
107.0488586;417.0253296
107.0587997;137.274353
107.067627;69.41345978
107.082283;12.92045498
107.0900497;6
107.7313538;11.34722233
107.8960419;10.125
107.9152679;52.47115326
107.9331436;17.04166603
107.9429626;7.75
108.019249;8.125
108.0558014;67
108.0677414;17.4464283
108.0756531;5.025000095
108.4525452;15.75
108.5797653;140.5943909
108.5996399;24.1607151
108.6095581;7.125
108.7036591;30.24038506
108.7108154;13
109.1024246;76.0083313
109.1309662;11.19999981
109.1401901;5.017857075
110.0568924;63.03628922
110.070755;11.22500038
110.5584564;17.01136398
110.5740585;7.875
111.0307617;108.5986862
111.116745;75.91847992
111.127182;22.02499962
111.2127686;12.33333302
111.275856;27.02499962
111.2854843;6.5
111.2958832;6
111.4867096;56.06666565
111.4952774;20.375
112.0946426;26.01388931
112.1061401;9.333333015
112.5293274;10.25
112.6391449;17.1607151
112.7128677;75.75
112.7403412;28.00833321
112.7484131;6
112.755806;5.025000095
112.794899;22.5
112.8021851;21.0625
113.0273514;67.21120453
113.0462112;12.22500038
114.0542679;8.160714149
114.2062225;17.25
114.2144318;46.28125
114.2236328;19.0625
114.8882446;19.5625
115.0810623;20.36029434
115.0930862;12.375
115.4891357;78.36029053
115.5005569;21
115.5094833;6.224999905
115.5551987;29
115.5656052;10.44999981
115.9345245;77.85227203
115.9415817;31
115.9556046;8.625
115.9722443;33.32692337
115.9801331;16.92045403
116.3916397;89.92987823
116.4000549;72.36363983
116.4153137;14
116.4224701;9.041666985
116.4471817;6
116.6404648;32.02777863
118.0869827;115.0321426
118.0952988;15.24038506
118.8317642;23.68055534
118.8749084;13.68055534
118.9648132;20.08333397
119.0479965;258.2975769
119.0572433;66.49342346
119.0697632;17.20000076
119.1802902;14.25
119.4359589;20.1607151
119.4468307;9.017857552
119.9185791;8.041666985
120.0817871;135.0803528
120.0969772;33.05356979
120.1044388;16.0625
121.0260086;13.01136398
121.0511322;325.6544189
121.0604324;5
121.0731125;40.640625
121.0819321;20.67499924
121.0942535;8.225000381
121.1024857;7.017857075
121.1104736;5.125
121.1234818;23.00735283
121.4544983;6.013888836
121.4621658;7.0625
121.6747665;16
121.9346695;28.40833282
121.9430313;11.19999981
122.0145721;17.47115326
122.0230255;51.7857132
122.0376816;47.72844696
122.0541077;8.041666985
122.3109512;15.5
122.9429169;15.69444466
123.1591873;56.2857132
123.1775742;5.333333492
123.3847961;30.59558868
124.5999908;13.02499962
124.6126328;8
125.0238266;78.28928375
125.0346527;33.04166794
125.0518341;47.96982574
125.0630951;67.1111145
125.0878677;15.47115421
125.0959854;13.01136398
125.2928009;37.375
125.3018036;8.160714149
125.4443893;12.08333302
126.0559235;25.04999924
126.0639801;16.1607151
126.3900681;19.66666603
127.5512009;66.625
127.5695267;10.55681801
128.307251;47.96982574
128.3144073;25.02499962
128.9642181;110.7613602
128.9792938;22.75
128.9963379;5.017857075
129.0105743;118.3706131
129.0244446;32.26666641
129.0335541;9.25
129.0550995;56.48077011
129.0673676;18
129.0775146;9.083333015
129.4026184;14.125
129.423645;17.04166603
129.4307404;8.017857552
129.6228333;20.0625
129.6339722;6.125
129.8622284;13.375
129.8906097;21
130.7129669;44.18382263
131.1645508;76.00378418
131.1712494;44.8928566
131.1784515;31.75
131.1959534;13.0625
131.204361;5.083333492
131.2216492;9.0625
131.2455902;7.160714149
131.3493347;17.08333397
131.3609161;6
131.3795013;22.45000076
131.9493713;93.04941559
132.3311462;21.5625
132.3623352;5.025000095
135.911499;9.041666985
136.0623322;842.076355
136.0758667;245.0638275
136.084671;93.49038696
136.0971985;51.81666565
136.1065826;16.5625
136.1139679;16.07500076
136.1221924;12.0625
136.1389771;6.75
136.3217773;22.625
136.3949738;21.79999924
136.5118866;23.16666603
137.0597839;1371.043457
137.0667725;235.6464996
137.0818939;133.5517273
137.0910797;52.765625
137.0984192;28.45000076
137.1148376;16.07500076
137.337326;14.44999981
137.3447876;105.266304
137.3673706;5
137.3744659;14.875
137.4413605;37.75
138.0561218;52.65760803
138.0641174;310.3497925
138.072052;89.80166626
138.0870056;25
138.1094666;15.02499962
138.1400909;9.03125
138.6341095;113.8935165
138.6484222;27.28409004
138.657135;11.04166698
138.8884888;13.10227299
139.8338165;20.20454597
139.8421936;14.01785755
139.8820343;6.375
139.8915405;8.160714149
140.1225739;5.375
140.1912994;11.284091
140.4083557;18.5625
140.6808929;14.34722233
140.6894531;8.083333015
141.1143341;79.09999847
141.3394928;11
142.9011383;7.160714149
143.0328217;44.02500153
143.0479584;16.25
143.1275787;7.25
143.1918793;12.125
143.6274567;20.375
143.6475067;6.013888836
144.2062683;52.09999847
144.2183075;21.20000076
144.2385559;8.125
144.4740906;30.04166603
144.4835815;11.05000019
144.9794464;161.5069427
145.0032806;13.33333302
145.0117493;6.125
145.0479584;166.0090027
145.0638885;43.125
145.0805054;38.64015198
145.1013489;8.625
145.1485596;14.10227299
145.2949524;5.017857075
145.8813629;23.22500038
145.894455;11
146.014328;11.25
146.0449066;66.40833282
146.5515594;16.08333397
147.0453644;117.7110214
147.0550079;12
147.0643158;5.333333492
147.5825043;10.25
147.9511566;41.56818008
147.9598236;18.0625
148.046875;100.0288467
148.0632477;18.20000076
148.5333557;7.0625
149.480957;9.347222328
150.0574493;108.0387955
150.0686951;19.34722137
150.1020813;8
150.1148376;5.083333492
150.6183777;28.125
150.6261292;50.13586807
150.6408539;19.0178566
151.0761871;42.04166794
152.9015808;42.65760803
153.3894501;17.5714283
153.5349579;21.40833282
153.5439301;11.10227299
154.0758514;23.04999924
154.0845184;8.160714149
155.0146484;19.79999924
155.1360626;8.225000381
155.1464539;14.625
155.1546021;109.98349
155.163269;122.625
155.1793823;33.44643021
155.1927032;20.04999924
155.2055817;5.125
155.2232819;8.0625
155.2340851;6.017857075
155.8069763;31.16346169
155.8188477;11.284091
156.1036377;66.77884674
156.1226044;12.01785755
157.6307678;25.0178566
157.6442719;7.125
157.8572388;9.449999809
158.0809784;120.7037048
158.1086273;11
159.1938782;88.01470947
159.202301;76.72023773
159.2107086;29.5625
159.2295837;7.125
159.5040131;17
159.5184937;6
160.3499908;58.515625
160.3666687;15.01388931
160.8178406;5
160.827713;6.375
160.890625;44.00961685
160.9046021;39.92045593
160.9121399;27.1607151
160.9290771;6.625
161.4509125;15.40833378
161.4594116;17.04166603
161.4666595;12.16071415
161.4781189;9.375
161.4926605;5
161.8932037;40.79605103
161.9003754;26.04166603
161.9107361;6.224999905
161.9669647;9.333333015
162.9907684;64.02083588
163.0002136;30.4464283
163.6708374;25.55681801
164.041214;16.0178566
164.0510559;11.22500038
164.2299652;23.375
164.9689484;9.125
164.976593;8.125
165.0277863;36.66666794
165.0547943;95.67129517
165.0657349;38.66666794
165.0825043;10.34722233
165.0929565;9.083333015
165.9491577;10.01785755
166.3102417;6.333333492
166.3187714;8.017857552
166.4909058;5.041666508
166.8953552;13.75
166.9230499;5.625
167.0363464;226.0800018
167.0601349;30.04166603
167.0767212;14.01388931
167.0886536;7.224999905
167.6712952;10.5
168.5222321;9.446428299
168.5350952;8.125
169.1848907;17.1607151
169.196228;10.02499962
170.1084747;77.03879547
170.1286926;12.01388931
170.2733917;46.25
170.2848053;20.0625
170.6965027;55.33333206
170.7064056;77.6875
170.7203217;23.08333397
170.7291718;13.125
170.7535858;6.5
170.7660675;7.050000191
171.5118408;5.333333492
173.5084839;47.56018448
174.0874329;85.05000305
174.0988312;39
174.117157;5.5
174.1511993;94.5625
174.1785126;13.34722233
175.2597351;24.625
175.2703247;19.25
175.6172333;5.083333492
175.6996002;55.56018448
175.716095;7.025000095
175.7554779;6.025000095
176.0741882;48.22282791
176.0841064;21.66666603
177.0948029;60.68181992
177.1067963;32
177.1167755;11.05000019
177.5188599;87.3611145
177.5326691;26.3214283
177.5432892;10.125
177.5552063;5.125
177.5731964;22.5714283
177.766449;32.47115326
177.7860565;6.041666508
178.9193726;9.5625
179.0718536;507.9715576
179.0867157;63.3392868
179.0987396;67.28408813
179.1083984;22.11111069
179.5480347;9
180.0738831;39.40833282
180.3560791;7.224999905
181.0861511;32.68055725
182.9320984;11
182.967926;14.16071415
182.9791718;6.160714149
182.9893799;15.04166698
182.9978943;6.017857075
183.0108185;8.5
184.1182251;6.017857075
184.1281891;24.22500038
