m/z;Intensity
100.1907349;12.33333302
100.2004242;7.025000095
100.521019;35.16447449
100.527092;30.66666603
100.5365219;19.01136398
100.6550903;37.04999924
100.6673203;19.04999924
100.6761322;5.125
100.7546158;17.08333397
100.8033066;12.19999981
101.0735626;30.00961494
101.0823898;5.025000095
101.1488113;6.160714149
101.2259445;50.2857132
101.2391052;13.44999981
101.3829803;16.0357151
101.4190216;32.92045593
101.4263382;21.20000076
101.5470581;58.04166794
101.5627747;9
101.6102371;5.041666508
102.1130524;14.5625
102.1210403;5.041666508
102.2489395;6
102.2594833;7
102.2686539;12.16071415
102.4423828;7.025000095
102.4824142;79.89286041
102.4964142;18.125
102.5827179;15.0625
102.590889;6.625
102.6059265;16.20833397
102.6715851;35.3392868
102.6836319;19.125
102.727562;52.28409195
103.235878;8.125
103.2985687;31
103.3056793;5
103.4226151;52.79999924
103.4329147;20.01388931
103.4398575;7.017857075
103.575592;52.55681992
103.5860748;19.22500038
103.594223;10.33333302
104.2584534;18.2857151
104.2654419;6.75
104.3589249;6.25
104.3757401;17.875
104.4547272;7.050000191
104.4689484;5.025000095
104.5532837;8.625
104.7643814;23.375
104.8231583;39.90000153
104.8315887;26.0178566
104.8486252;5
105.3367996;13.77884579
105.3459244;20.04999924
105.3532715;13.01136398
105.3997726;29.14880943
105.4083328;10.02499962
105.4186707;19.55681801
105.4784698;14.08333302
105.4971466;24.45000076
105.5358276;17.68055534
105.5441437;32
105.5628281;7.347222328
105.5807648;47.68055725
105.5944519;11.08333302
105.8874893;32.36029434
105.9273224;9.375
105.9330444;10.125
105.9425049;6.0625
106.035614;32.02500153
106.0495529;9
106.1123581;37.01136398
106.1231766;19
106.1303329;11.00833321
106.2037354;12.01136398
106.2228699;28.47115326
106.2329941;35.66666794
106.2435226;8
106.5108643;27.2857151
106.5302429;18.1607151
106.5368195;14
106.581459;16.08333397
106.63974;26.34722137
106.7774429;9.0625
106.8324051;24.125
106.8431778;26.55681801
107.0151138;12.5625
107.0846329;72.03125
107.096405;19.68055534
107.1061401;9
107.1657257;18.40833282
107.1762695;8
107.2134781;9.333333015
107.3304367;9.5625
107.4354019;10
107.6162186;86.01041412
107.6299515;12
107.6375122;6.041666508
107.6693192;35.1607132
107.6876373;5
107.7711411;64.33333588
107.7922134;12.04166698
107.9223175;9.024999619
107.9457092;151.2840881
107.9576263;54.11184311
107.9690475;10
107.9786606;6.5
108.0938644;37.14881134
108.1066055;11.08333302
108.3258133;34.78125
108.3353958;6.224999905
108.482193;53.0625
108.4927444;40.34722137
108.506279;27.59558868
108.5150223;30.0357151
108.7918854;14.08653831
108.799118;15.53289509
108.9045029;40.09999847
108.9134598;51.03125
108.9332962;6.017857075
109.0220718;205.1626282
109.0288467;183.0625
109.0405579;43.40000153
109.0465317;21.34722137
109.0564346;9.083333015
109.0711441;9.011363983
109.102417;124.75
109.1306915;9.041666985
109.1474838;25.52083397
109.1544647;11.0625
109.1618729;9
109.245636;9.160714149
109.2836685;22.125
109.2974701;18.55681801
109.3180466;8.125
109.3410492;19.55681801
109.4004364;59.72023773
109.4172363;9.25
109.4266739;11.34722233
109.4576874;9.449999809
109.532486;11.01388931
109.5400238;5.224999905
109.9060745;31.5714283
109.9166718;7
110.027916;17.20000076
110.0344238;12.25
110.1054153;65.24264526
110.1259613;5
110.2878647;95.19117737
110.3026047;18.16666603
110.3092499;5.5
110.4259186;21.375
110.5766754;11.01388931
110.7977905;6.025000095
110.8345337;50.02500153
110.85215;12.25
110.8599319;10.0625
110.9075851;5.160714149
111.184021;6.013888836
111.1945343;24.28409004
111.2021866;11.125
111.4085236;9.75
111.4699631;10
111.9327164;44.02500153
112.144577;48.81666565
112.1514969;25.00735283
112.1589127;14.01388931
112.1650391;14.5625
112.1735382;8
112.1882553;6.125
112.2603455;10.04166698
112.2729416;11.24038506
112.2806549;6.446428776
112.3069534;8.5
112.3447723;18.07500076
112.6717834;5.5
112.7389908;38.02500153
112.7566223;5.625
112.7638474;20.79999924
112.7720947;9.024999619
112.8897629;14.92045498
112.901474;5.013888836
112.9320984;11.92045498
113.6130905;30.08653831
113.6913147;49.20833206
113.8167572;14.02499962
113.8241196;10.25
113.8500366;71.89286041
113.8774185;6.025000095
114.1381073;41.10227203
114.1486206;25.1607151
114.2533646;29.72023773
114.2622528;6.0625
114.3286591;43.5625
114.3446884;20.68055534
114.7819748;27.2857151
114.792099;9
114.8276367;71.13587189
114.8388138;19.02499962
114.8701477;86.11573792
114.8890839;27.16447449
114.912056;108.125
114.9203491;45.10227203
114.9314499;14.125
114.9913406;57
114.9986267;22.04166603
115.0064392;8.083333015
115.0192795;25
115.0304337;5
115.04216;62.25
115.0502625;32.96195602
115.0733185;10
115.0882111;5.025000095
115.3379364;11.125
115.4673615;76.19047546
115.4820175;12.02499962
115.6383209;23
115.6461487;5.025000095
115.7399597;6.333333492
115.7824707;62.02083206
115.8049774;10
115.8161316;9.017857552
115.8308182;15.284091
116.1105881;13.80000019
116.1215363;18.20000076
116.1318283;8.333333015
116.2634506;35
116.2761154;52.79999924
116.2911835;12.08333302
116.3697281;40.2321434
116.3924103;5.224999905
116.6794205;40.08654022
116.6931915;12.80000019
116.7638397;64.27365112
116.7709045;29.125
116.779129;12.07499981
116.9380188;17.04166603
117.0028839;13.125
117.0348969;75.4807663
117.0541534;8.125
117.0665436;5.160714149
117.1098862;17.01388931
117.3839569;19.5714283
117.8334274;11.68055534
117.8572922;7.050000191
118.0865479;30.875
118.1008301;22.0357151
118.3426361;39.0357132
118.3557053;7.050000191
118.6037369;5.125
118.7062225;10.22500038
118.7508011;25.04999924
118.9227066;11.5625
118.9326553;8.024999619
119.0491028;25.96195602
119.125618;8.446428299
119.1398621;18.625
119.1513977;33.48077011
119.161499;12.5625
119.1862106;20.45000076
119.198349;7.025000095
119.2639389;51.375
119.2721939;30
119.2874374;6.025000095
119.4017792;8.446428299
119.7078629;10
119.8262787;8.333333015
120.2836533;13.03571415
120.5200195;17
120.5310745;7
120.6269836;58.0625
120.6339493;23.25
120.6496811;6.160714149
120.7169952;37.32143021
120.7247543;15.5625
120.7741623;16.375
120.8057098;8.446428299
121.4391327;14.08653831
121.4796677;13
121.5724564;34.88970566
121.5821686;37.45000076
121.6576843;57.19758224
121.6737061;9
121.6823349;6.017857075
121.9134521;7.125
121.9430923;8
122.0347672;12.16071415
122.2348175;70.00431061
122.2445297;151.125
