m/z;Intensity
100.0805893;35.00961685
100.3488541;47
100.3558655;33.0357132
100.3674469;8.125
100.8357544;14.125
101.3173447;10.75
101.5494995;16.47115326
102.378891;7.011363506
102.5424271;6
102.6463547;98.0978241
102.6586075;39.00595093
102.6682892;35.375
102.6757736;30.20000076
102.6884842;9.011363983
102.9449997;32.77884674
102.9520569;13.5625
103.5610428;17.4464283
103.9565811;177.2022705
103.9864731;8.017857552
103.999733;6.5
104.3197556;22
104.3267212;41.03125
104.3392715;12.03571415
104.3488388;5.625
104.7315369;19.0625
104.9449005;22.24038506
105.0451202;92.02500153
105.0696259;115.728447
105.0823898;6.025000095
105.0894775;21
105.3224869;6.333333492
105.8746338;11.125
107.0491791;115.2976227
107.0679169;24.24038506
107.3062363;18.24264717
107.5147629;29.04999924
107.5298691;5.625
107.7994766;47.0625
107.8094406;17.79999924
107.9562073;17.01388931
107.9633026;13.125
108.0217133;30.44444466
108.3886261;30.00595284
109.0279999;110.2236862
109.0547256;5.625
109.2271423;7.011363506
109.4561157;13.16666698
109.6475601;21.55681801
109.8636856;48.06617737
109.8742676;19.02499962
110.0367203;104.1904755
110.0478821;28.5
110.0596542;130.2011871
110.067543;66.32257843
110.0839691;13.04166698
110.1978912;9.625
110.2649765;11.125
110.2729645;11.80000019
110.4539871;14.125
110.4615631;10
110.5819855;34.17307663
110.5898743;13.125
110.6126404;17.25
110.8685684;39.47115326
111.0927887;138.2367096
111.1186981;14.4464283
111.125473;13.01785755
112.2246399;50.32143021
112.2321701;21.02499962
113.2431259;15
113.2521286;9.449999809
113.3538284;13.19999981
113.8431854;11.02499962
113.8540039;6.0625
114.6119766;23.20000076
114.6264725;9.199999809
114.6406479;5.0625
114.8419189;21.125
114.8554001;17.5
115.3490524;21.0178566
115.475502;35.57143021
115.4872894;5.025000095
116.1599503;18.20000076
116.4001389;18.02777863
116.6212997;24.01136398
116.6326523;16.00833321
116.6793137;40.11111069
116.6867828;14.19999981
116.6944199;11.0625
116.8188934;59.20833206
116.8330002;7.224999905
116.8600616;69.36363983
117.0720825;21.68055534
117.083725;6.041666508
117.593338;18.25
117.6012268;19.125
117.9592438;97.1818161
118.0888596;63.04166794
118.099472;22
118.1233368;6.025000095
118.8121948;36.80500031
118.8264236;9.449999809
119.1971817;10.5
119.2076035;7.017857075
119.5558853;20.25
119.562561;11.01136398
119.5701675;5.083333492
119.8305283;10.01388931
119.8396606;35.32236862
119.8483887;15.4464283
120.5774994;9.041666985
120.5861969;21.22500038
120.5981293;12
120.7835236;18.16666603
121.0283127;180.7119598
121.0507202;248.7232208
121.068367;14.5625
121.0770721;20.125
121.0984802;10
121.1939316;18.08653831
121.2058334;21.10227203
121.2137222;9
121.8368378;13.33333302
122.0348129;203.25
122.0453568;144.9204559
122.0586853;24.47115326
122.0677795;6.160714149
122.078743;45.5
122.0859451;14.02499962
122.1946335;39.01388931
122.2136383;5
122.6344604;30.02499962
122.7012177;13.80000019
123.0441132;111.6544113
123.0616074;18.47115326
123.0727158;6.017857075
123.9235764;8.125
124.3689651;30.125
124.490303;7.125
124.5080719;5.125
125.0293427;7.041666508
125.6686172;56.5610466
125.8519745;16.92045403
126.8583832;108.0035706
126.8821716;16.0625
126.9034119;19
126.910759;19.1607151
127.0404968;79.01786041
127.0600128;11
127.0972214;6.017857075
127.583252;7.160714149
127.9497147;55.27272797
127.9641724;8.041666985
128.1253967;37.02777863
128.1341248;15
128.3260498;7.160714149
129.0601654;73.515625
129.0809937;14
129.0987549;7
129.4328003;9.083333015
129.9184723;13.80000019
130.2362061;6
130.5321503;11.34722233
130.7916565;11.02499962
130.8582001;69.01667023
130.8766937;10.5625
131.6296234;8.017857552
132.0445099;91.00657654
132.0583344;20.02499962
132.440155;6.083333492
133.22995;5.125
133.242981;6
133.4955597;12.0625
133.5057983;6.0625
133.9252625;134.6805573
133.9450989;21.33333397
133.9578857;12.05000019
133.9701843;5.041666508
134.5454254;7.25
135.0440063;115.6805573
135.059433;27.24038506
135.0689697;8.5
136.6209259;19.00735283
136.6290436;12.08653831
137.0224457;348.9516907
137.0307007;54.22499847
137.0474243;40.09999847
137.0561981;19.125
137.0655212;12.44999981
137.0747528;9.225000381
137.0848694;8.225000381
137.809433;10.01785755
138.062088;142.8166656
138.0821228;26.34722137
138.0929413;20
138.1038818;12.4464283
139.038208;202.5957489
139.0607758;12.125
139.0704803;15.03571415
139.085022;8.160714149
139.0960693;7.875
139.1233215;29.16666603
139.7349701;38.00543594
139.7445374;12.33333302
140.5308533;6.0625
140.6212616;42.07500076
140.6348724;9
140.8523254;8.199999809
141.0542908;225.3652649
141.077774;38.57143021
141.0894165;13.01388931
141.1102905;11.5714283
141.4915009;47.125
141.5107574;10
141.7737122;21.69444466
141.7859497;8.024999619
141.8764648;34.125
141.8866425;26.20000076
141.9846954;16.0625
141.9947968;11.125
142.0119781;10.68055534
142.5339508;19.88970566
142.5417633;14
142.6342926;16.25
142.6496429;6
142.6628876;14.75
143.0753021;6.75
143.7387848;6.017857075
143.7763977;5.083333492
144.2687378;14.5714283
144.2797699;8.625
144.3963928;19.34722137
144.4157867;23.5
144.4937897;9.017857552
144.506485;38.00833511
144.5150604;21.0625
144.9627533;24
144.9725037;11.01388931
145.3094177;8
146.0895844;10.0625
146.4194183;22.01136398
146.4269257;13.4464283
147.0170288;11.01785755
147.9219208;10
148.6430664;37.04999924
148.860733;5.125
148.9743042;51.55681992
149.0206451;7.160714149
149.0602417;179.9175568
149.0749512;34.55681992
149.0974121;8.102272987
149.3770905;39.01136398
149.6164246;23.25
149.6244812;12.5
149.6340942;22.06617737
150.7284851;16.02499962
151.0413666;145.2807007
151.0500641;49.76470566
151.062851;18.125
151.078598;5.041666508
153.0202484;56.96195602
153.0343628;24.10227203
153.0426331;13.01136398
153.0561371;97.23213959
153.0816498;13.625
153.0938263;20.08333397
153.1122742;18.92045403
154.4047699;8.5
154.4362335;5
155.3167877;44.72023773
155.3289795;24.11111069
155.8052216;12.125
155.8147888;23.1428566
156.0699921;155.515625
156.0970612;13.125
156.679657;24.92045403
156.6865997;14.5625
157.5521088;16.04999924
157.7429504;24.39673996
160.1165009;20.0357151
160.1313629;19.16666603
160.5121307;14.25
160.6655273;17.04166603
160.7596893;57.00595093
160.7710724;18.10227203
160.9637451;18.55681801
160.9812012;40.40000153
160.9983215;24
162.3634338;5
162.8106232;54.33333206
162.8257294;23.33333397
162.8427582;5.5
163.0753632;43.65760803
163.0886383;8.375
163.8941345;37.09999847
165.0543518;90.95999908
165.0656433;31.375
166.1188202;47.20833206
166.1368408;10.02499962
166.1463623;9.25
166.2047424;17.47115326
166.2142181;5.125
166.2258759;12.80000019
167.9118652;5.625
168.1917267;6.125
168.6215973;17.68055534
169.0523987;87.13306427
169.0611267;45.20833206
169.0691223;18.22500038
169.0791168;14.0625
169.0872498;14.34722233
169.4518738;7.25
169.5048828;22.125
170.0443573;77.43214417
170.0536041;23.02499962
170.0673065;12.10227299
170.0814667;6.224999905
170.1824341;6.125
170.2696533;14.25
170.4742126;48.14224243
170.4843292;25.01388931
170.9135284;10.375
171.0659943;83.5681839
171.0835571;22.04999924
171.0923004;12.125
171.1270142;7.017857075
172.0192566;19.04999924
172.0281982;17.01136398
172.1315308;43.1607132
172.1394501;27.08653831
172.1468811;11.02499962
172.5374298;22.96195602
172.5502777;12.14285755
173.4871368;10
173.7755737;7.013888836
175.0831909;40.02777863
175.0955353;12.5
175.195694;27.0625
175.212677;14.55681801
175.7576599;68.07691956
175.7671814;29.68055534
175.7816315;7
175.903183;7.5625
175.9299774;15.04166698
176.472229;12.01388931
176.7350464;54.22499847
176.7567291;21.375
176.7655029;10.125
176.7746124;8.041666985
176.7873077;5.375
176.8362122;13.22500038
178.0520782;73.16447449
178.0608978;38.125
178.0818481;7.025000095
178.1028748;15.00833321
178.1159973;22.5
178.1280518;46.16666794
178.154953;12.125
178.6833344;10.16071415
178.6945343;5.160714149
179.8040466;9.125
180.198822;61.32692337
180.2102661;35.57143021
180.2281647;7.199999809
181.7248077;33.92045593
181.7350464;12.34722233
181.7769318;11.22500038
183.4095001;43.125
183.4256287;8
183.8712463;38.81818008
186.0934448;131.6686554
186.1207581;12.22500038
186.1529999;7.25
186.5520172;18.125
187.1126099;25.375
187.1280365;6.125
187.6124725;5.5
187.6279449;13
188.0778351;251.4090881
188.092804;92.625
188.1135254;26.02499962
188.130661;21.20833397
188.1434784;11.375
189.1348419;6.0625
189.9218903;19.28125
190.7411346;65.07691956
191.6229553;32.04999924
191.6403351;12.125
191.9278107;35.28409195
192.3691101;14.04166698
192.811264;24.53125
192.8222961;7.013888836
192.9477539;5
193.08284;43.00595093
194.4229431;20.08333397
194.4325562;31.08653831
195.1830597;13.22500038
197.0665588;21.10227203
197.6384888;24.1607151
198.7775421;41.02272797
199.5522766;62.02777863
199.5786896;8.125
199.5970459;11.16071415
199.8395386;19.00961494
199.8543396;7.050000191
200.0444031;13.4464283
200.0930786;75.60500336
200.1208954;7.375
200.1516113;15
202.3601379;14.375
203.3296814;11.01388931
205.0623474;12.03571415
205.5039063;18.16346169
205.5205688;8.024999619
206.0464172;194.6942291
206.0624847;52.25
206.0750275;23.79999924
206.0936279;6.083333492
206.1031647;9.160714149
206.1134949;6.013888836
206.4354248;36.07143021
206.4456177;14.02499962
206.788681;7.875
207.0478363;192.1113586
207.0592346;79.3611145
207.0775146;19.0178566
207.1098022;7
207.297348;7.017857075
208.4193115;15.08653831
209.1147766;13.01388931
210.7980347;16.1607151
210.8081055;7.224999905
211.0160675;5.125
211.1545258;15.01136398
211.3716431;19.11111069
211.386795;8.017857552
212.5674286;16.375
212.8265533;15.01785755
213.5838623;17.33333397
213.5943756;6.224999905
213.638092;37.00658035
213.6585541;15.01388931
213.6679993;6.125
213.7424927;40.41666794
213.7566833;20.1607151
213.778244;11.08333302
213.9788208;9.347222328
213.9932709;9.199999809
214.4141083;63.72023773
214.4770966;10
215.5259247;39.1607132
215.6571808;9.333333015
215.7714081;13.01785755
217.0896301;86.36363983
217.1309662;9.017857552
218.1268921;28.5625
218.1446838;8.25
218.9952393;8.125
219.9348297;37.16447449
220.2003937;30.04166603
220.3733673;15.03571415
222.1095886;22.18382263
222.7106323;17.0178566
222.7295532;6.333333492
223.0758362;22.67499924
223.0870056;10.19999981
223.2849579;13.875
224.3874512;9.75
225.0884552;10.5625
225.1126862;6.083333492
225.4804993;23.00833321
226.0112457;44.11184311
226.0281982;9.25
226.0411682;6.333333492
226.1947174;48.36111069
226.2112885;10.01785755
226.2270966;13
226.2502136;237.8525696
226.2764587;36.08333206
226.2925568;24.03125
226.3075409;8
226.3213501;7.025000095
226.3340759;7.25
227.0695648;26.25
227.0848694;52.00595093
227.121582;8
227.341156;19.0625
227.3569946;12.0625
227.8972015;28.01922989
227.90979;6.041666508
228.1837311;142.6955109
228.2146301;18
228.22789;13.05000019
228.6494598;46.2857132
228.6697845;34.66666794
229.2192535;44.40000153
