m/z;Intensity
53.03857658;1.001183977
55.05422664;1.751629428
67.05422664;0.859348285
69.06987671;1.907993159
85.02840582;0.779586913
107.0855268;0.663727651
109.1011768;1.672741289
111.1168269;0.771143761
123.1168269;1.477957093
131.0702706;0.668406922
135.1168269;2.449853326
137.132477;2.738930959
139.148127;0.682047932
145.0495352;1.015590771
147.0651853;4.217477813
151.148127;0.608824741
163.0600999;3.133207477
203.1794272;0.656772452
205.1950772;2.849812311
221.1899918;0.94958912
223.2056419;11.89692556
307.1023586;0.606736743
309.1180087;1.752922909
367.2479006;2.105929081
385.2584653;4.801809912
513.3058094;1.641591821
515.3214595;0.636930962
553.2490824;0.625765158
601.3218534;0.628343602
621.3116827;0.625765158
659.3637182;2.122573771
