m/z;Intensity
123.0446045;3.215266899
151.0395191;1.661705515
229.0500838;2.456924786
301.0712131;1.914481545
439.1029072;2.502888109
527.0978218;4.556644663
527.0978218;6.676055815
531.1291219;5.283717295
531.1291219;9.04511548
547.1240366;4.232344778
573.1033011;2.911062038
575.1189512;1.405289697
577.1346012;1.635777772
577.1346012;6.845217995
589.1346012;1.84386366
593.1295159;4.885834631
679.1451659;1.858344549
691.1087804;3.690745228
693.1244305;3.690745228
697.1557306;1.518131841
701.1870307;2.253215537
701.1870307;4.415848911
703.2026808;2.577951502
711.1349952;2.705719774
713.1506452;1.947803785
725.1506452;2.16732667
727.1662953;1.603777859
741.1455598;1.868281836
805.17686;1.698638643
807.19251;1.688913769
849.2030747;5.242364189
