m/z;Intensity
44.04947561;1.25861933
72.04439023;0.55201853
76.02154661;1.040001223
80.97360697;0.990362564
94.03997355;1.691678093
96.96852159;0.703514771
98.98417166;0.555951575
107.0352225;0.521838879
109.0508726;1.008711486
115.0865894;2.205833922
119.0352225;4.223443688
132.0477614;0.853866679
134.0461215;1.753753117
134.0634114;0.669203546
136.0617716;29.27087666
141.1637771;0.628140058
147.0586604;2.40816422
149.0743105;0.513548608
162.0410362;0.506781901
200.1142011;0.679222889
229.1620628;0.782518105
234.098551;0.540237739
246.1886119;1.271343153
300.1991766;1.016315815
317.2257257;2.136062224
429.2781552;6.991165539
447.0928093;1.291197192
496.0992916;0.505508689
629.2057309;0.665097094
633.237031;0.97960209
738.1660645;0.496794009
