m/z;Intensity
27.0234751;0.966364249
28.01872406;2.774527367
29.03912516;1.294141494
30.03437413;1.636619755
31.01838972;0.707840841
42.03437413;10.24325442
43.01838972;0.827119171
44.05002419;4.064918191
44.99765427;0.240562423
45.03403978;4.373773082
47.04968984;2.507817415
54.03437413;2.687755647
55.01838972;0.25655383
56.01363868;0.370627417
56.05002419;39.44414206
57.03403978;3.686146596
58.02928875;0.674227207
58.06567426;5.904967852
59.04968984;0.619704845
71.01330434;0.551675732
72.04493881;1.912293907
73.0289544;0.32104469
74.02420337;0.391303693
74.06058888;3.854868429
76.07623894;0.630835366
78.0555035;0.259913073
84.04493881;2.971033802
85.0289544;1.614466685
88.03985343;0.572051122
102.0555035;3.417915931
103.0395191;0.221533707
