m/z;Intensity
43.01838972;7.431703758
55.01838972;10.14456978
57.03403978;1.154159081
67.01838972;1.147313012
73.0289544;0.854266439
79.01838972;6.061270799
81.03403978;2.954830477
91.01838972;0.826536635
105.0340398;3.484281733
107.0496898;4.292986269
121.0289544;0.963063582
123.0446045;0.810565848
135.0446045;1.727347403
137.0602545;6.247253914
139.0395191;2.425554816
145.0289544;0.67886353
147.0446045;1.126635606
149.023869;0.368335402
149.0602545;4.295312782
155.0708192;0.715394413
159.0446045;0.872352026
161.023869;0.694313647
161.0602545;4.496464977
163.0395191;6.496075582
167.0708192;11.48281148
177.0187836;0.312243818
177.0551691;1.227201089
179.0708192;8.242339608
191.0708192;6.796762641
193.0500838;1.083436315
209.0813839;0.585753538
