m/z;Intensity
27.0234751;0.551807966
41.03912516;21.89426304
42.03437413;2.92636244
43.01838972;1.729176267
43.05477522;5.567035886
44.05002419;0.391482664
45.03403978;0.226036928
47.04968984;0.152607322
51.0234751;5.331922095
52.01872406;2.846647599
53.03912516;3.23554968
54.03437413;6.761173736
61.06533991;0.238581824
65.03912516;1.832232981
66.03437413;5.780688437
67.05477522;3.273147003
68.05002419;17.03424513
69.03403978;0.59330907
70.02928875;2.607770606
70.06567426;0.987840737
72.04493881;0.787523796
77.03912516;3.259923437
78.03437413;0.934209589
79.01838972;0.267724855
80.01363868;0.165508354
83.04968984;0.246386031
86.06058888;0.787096283
94.06567426;6.438124857
95.04968984;0.330533786
96.04493881;2.257057487
112.0762389;0.564030117
