m/z;Intensity
27.0234751;1.370753976
41.03912516;5.532014156
43.01838972;3.279157262
43.05477522;2.44378241
51.0234751;8.419111973
59.04968984;1.18254864
61.06533991;3.795325296
69.03403978;3.351913441
83.04968984;3.032265981
107.0496898;2.509623956
109.0653399;2.864839455
121.0653399;1.284885764
123.08099;4.016288477
125.09664;1.831218416
135.08099;1.448398569
137.09664;2.227081737
147.08099;2.977172324
149.09664;3.625549241
155.1072047;1.598511535
161.09664;4.245795378
163.0759046;2.603362584
163.1122901;5.615977946
165.0915547;1.316534191
173.09664;2.596687271
175.1122901;3.608841839
179.1072047;3.965843538
181.1228548;1.210149029
187.1122901;8.995263381
189.0915547;3.152491613
205.1228548;4.28553922
207.1021193;1.613071401
