m/z;Intensity
51.0234751;4.757694236
53.03912516;2.365656844
55.01838972;2.450225853
67.01838972;1.694879462
68.99765427;2.399670952
69.03403978;2.595525033
77.03912516;1.615135119
79.01838972;2.776730186
83.01330434;1.364033573
85.0289544;1.424281543
93.03403978;1.459323621
109.0289544;9.56347754
133.0289544;3.414769755
135.008219;2.12415032
135.0446045;1.653395195
137.023869;4.276413691
153.0187836;6.12452211
161.023869;2.407794697
179.0344337;1.540253032
187.0395191;1.263173189
201.0551691;1.20966021
203.0344337;2.982636247
211.0395191;1.328220178
213.0551691;7.25000721
227.0344337;3.653692786
229.0500838;1.468065668
239.0344337;1.976354203
243.0293483;2.690611468
245.0449984;3.175720369
251.0344337;3.871646314
269.0449984;13.1222794
