m/z;Intensity
51.0234751;0.973495463
55.01838972;3.90135541
67.01838972;3.051511839
68.99765427;2.038680317
69.03403978;4.273850004
79.01838972;5.400778188
81.03403978;2.177957721
85.0289544;3.057092763
91.01838972;2.962973145
95.01330434;1.956725818
111.008219;1.60434043
121.0289544;8.740564054
137.023869;8.817978071
153.0187836;10.9398769
155.0344337;1.049405775
201.0551691;1.758168805
203.0344337;1.421235251
213.0551691;1.59474936
215.0344337;1.429942948
227.0344337;3.030902228
231.0657338;1.077735591
233.0449984;1.083591241
237.0187836;1.383473621
239.0344337;5.328516852
241.0136983;0.939004279
243.0293483;2.075276715
245.0449984;2.535984831
255.0293483;1.166287095
257.0449984;2.058742555
261.039913;0.991530756
269.0449984;11.17827197
