m/z;Intensity
41.03912516;3.36991497
51.0234751;4.069188455
53.03912516;3.904743925
57.07042529;7.645108378
59.08607535;1.695861366
67.05477522;9.265013074
69.07042529;3.823333445
71.08607535;1.547954168
83.08607535;2.534148403
107.0496898;2.353429637
109.0289544;6.460150727
123.0446045;5.18830667
133.0289544;2.948225253
135.0446045;3.637395367
147.0446045;3.58654583
149.0602545;1.447939484
157.0289544;2.780089111
159.0446045;1.589390197
173.0602545;3.455878499
173.09664;2.185433995
175.0759046;3.023662138
189.0915547;3.998250327
191.1072047;1.602832452
197.0602545;2.792509563
199.0759046;2.239129273
239.0708192;4.636892627
245.0813839;1.395296101
255.0657338;1.573742913
255.1385048;1.663990098
283.1334195;1.357487902
297.112684;2.228155654
