m/z;Intensity
41.00219107;1.053200305
43.01784114;4.179697346
45.0334912;1.189370055
57.0334912;0.764083722
81.0334912;0.778873064
83.01275576;0.820486712
83.04914126;0.968618354
85.02840582;1.388180786
87.00767038;0.934296085
89.02332044;1.010883992
97.02840582;1.162758502
99.04405588;4.749016187
101.0233204;0.737155387
103.0389705;1.007911751
127.0389705;3.007636702
129.0546206;1.186268684
137.0597059;0.718074993
139.0389705;0.702642196
141.0182351;0.781601355
141.0546206;1.424741106
145.0495352;1.786032697
147.0651853;1.93784762
153.0546206;4.312012925
157.0859207;0.749202267
167.0702706;7.674572013
169.0495352;16.06014842
169.0859207;0.829758802
173.1172208;0.997333763
185.0808353;10.6866613
189.1121354;0.974614487
287.1125294;0.782316181
