m/z;Intensity
43.01838972;3.135347069
45.03403978;1.359428289
57.07042529;1.913639761
65.03912516;2.551513364
69.07042529;1.369375375
83.04968984;2.334883768
85.06533991;2.697823498
87.00821896;1.317827027
89.03912516;1.386426678
105.0704253;1.546340934
107.0496898;2.822819384
123.08099;2.836036026
125.09664;1.674367008
127.1122901;3.427162962
139.1122901;3.701921922
145.0500838;2.429702097
145.1017254;1.233102921
147.0657338;2.338899605
151.1122901;7.508377277
161.1330255;4.145368433
163.1122901;5.238084919
163.1486756;1.227971433
165.1279402;2.070510895
179.1435902;3.1159296
189.1279402;2.565818201
191.1435902;20.32825518
193.1228548;2.244828168
195.1748904;1.217347889
197.1905404;1.360314656
209.1541549;7.411755056
335.185849;1.488820598
