m/z;Intensity
39.02292652;1.225505233
41.00219107;0.803057794
41.03857658;1.370360902
43.01784114;1.542852666
45.0334912;1.15230861
55.05422664;5.28236693
57.0334912;1.450234007
57.06987671;4.796707441
59.04914126;4.53327029
69.0334912;0.858260119
71.04914126;1.457844037
81.0334912;1.173353111
85.06479133;0.927401839
87.00767038;0.847118688
137.0960915;0.874591949
143.1066561;1.758905132
145.0495352;1.342314769
147.0651853;1.073061319
153.0910061;1.063581642
155.1066561;1.032318229
157.1223062;1.061393318
163.0600999;1.201097491
167.1066561;1.068046928
169.1223062;0.846441932
181.1223062;0.804826883
185.1536063;2.238859865
199.1692564;2.41433924
207.1379563;1.775218817
209.1536063;10.50070572
211.1692564;1.324229601
227.164171;3.90153272
