m/z;Intensity
43.01838972;2.028496728
45.03403978;1.477623333
51.0234751;1.318793091
57.07042529;2.716783541
69.03403978;2.912356536
87.00821896;1.314517041
87.08098997;1.504207669
89.02386902;1.169424202
101.09664;7.636065392
141.0915547;1.440938056
145.0500838;2.423599414
145.1228548;6.002272744
147.0657338;2.223767078
155.1072047;1.156834865
163.0606485;1.854306464
171.1021193;1.31900395
173.1177694;2.435517617
187.1334195;3.325071375
197.1177694;3.950027218
199.1334195;3.932829741
201.1490695;1.279159276
207.1385048;1.401198738
223.1334195;2.912178442
225.1490695;24.01000747
227.1283341;1.562505296
227.1647196;2.770243644
229.1803697;1.298102385
243.1596342;8.066474318
315.1807636;1.250856845
343.1756782;1.206468883
369.1913283;2.100368642
