m/z;Intensity
43.01784114;4.109593887
45.0334912;3.152296435
55.05422664;3.153465892
57.0334912;1.052488138
57.06987671;1.791735951
59.01275576;0.856137435
59.08552677;0.676386545
71.08552677;14.99653826
75.04405588;0.858630235
87.00767038;1.236738507
89.02332044;0.993659656
89.09609146;5.21773916
145.0495352;2.189424378
147.0651853;3.082366723
161.0444498;1.034187983
163.0600999;6.145443102
165.0757499;0.848149263
175.0600999;1.911477926
177.0757499;2.109815308
205.0706646;1.462800478
215.1277855;0.677168231
233.1383502;3.42736345
251.1489149;1.00424653
307.1023586;0.752751905
309.1180087;1.030649274
321.1543942;1.39529697
323.1700442;1.150717899
351.1649589;2.135029101
353.1806089;1.425604795
355.196259;0.68799792
377.1806089;0.719032754
