m/z;Intensity
43.01838972;3.212798614
45.03403978;1.293240818
56.99765427;1.750851758
59.01330434;5.330122368
61.0289544;1.607309668
73.0289544;1.654830234
87.00821896;2.064912575
89.02386902;2.542251628
109.0289544;6.44277091
135.008219;1.952863422
137.023869;1.662771291
147.0657338;2.014237112
205.0136983;2.896014305
255.0293483;2.991845374
285.039913;6.915903149
287.0555631;1.393600751
295.0242629;5.300105201
297.039913;8.498297031
299.0555631;4.500022951
301.0712131;2.268597188
313.0348276;10.78846866
315.0504777;3.218016846
317.0661278;1.377739656
321.0610424;1.479450225
321.0974279;2.828048374
323.1130779;2.649341904
359.0766924;2.182990316
369.0610424;1.576970789
407.0978218;1.498988824
413.0872571;2.77287646
431.0978218;3.333761599
