m/z;Intensity
41.03912516;1.514799957
45.03403978;2.222576551
51.0234751;1.735511619
53.03912516;3.907042297
55.05477522;1.869710667
56.99765427;4.503820404
57.03403978;1.636826963
59.01330434;1.286484789
67.05477522;4.535948363
69.07042529;4.398465734
71.04968984;2.282615075
81.07042529;1.810529084
85.06533991;1.308200973
99.08098997;1.293031315
103.0395191;3.149474922
105.0551691;2.890012936
109.1017254;3.690636021
111.1173755;1.766344557
117.0551691;1.962261836
133.0500838;5.969797059
137.1330255;11.91779098
147.0657338;3.884689563
155.1435902;8.847438994
163.0606485;4.722307594
205.0712131;2.062403076
227.1647196;1.662387239
233.1025133;2.201719628
299.185849;4.293846918
387.201893;1.272311352
391.1604221;1.476021402
431.2281077;3.924992134
