m/z;Intensity
41.03912516;1.473267607
43.05477522;2.298914694
67.05477522;2.530977995
69.07042529;3.563865175
71.04968984;2.161513544
71.08607535;1.769519446
83.08607535;2.424707332
85.10172542;5.706030038
87.11737548;1.854372186
95.08607535;3.98565547
97.10172542;7.147882388
99.08098997;1.814781775
99.11737548;2.190264448
115.1122901;15.63199729
129.0915547;2.205332008
139.1122901;2.59977715
153.1279402;1.827702015
167.1435902;2.59977715
303.1960197;1.702250489
305.2480553;1.441980922
319.2273199;1.864891839
321.2793554;1.432960134
331.2273199;6.159968526
333.2429699;4.992689912
335.25862;1.665536331
361.2378845;4.538631793
363.2535346;3.171428585
435.347435;1.598837954
459.347435;2.559233385
463.3423496;1.893224252
479.3372642;3.192028174
