m/z;Intensity
45.03403978;1.250310243
56.99765427;3.765180636
59.01330434;1.069797653
71.01330434;2.357216354
103.0395191;2.040434368
105.0551691;1.67367644
107.0496898;1.04795608
109.0289544;3.55715357
117.0551691;1.561114549
123.0446045;2.736617736
133.0289544;2.401404668
133.0500838;6.526726285
135.0446045;7.341473178
137.0602545;1.541266641
145.0500838;1.853585612
147.0657338;3.692217766
151.0395191;1.109706516
161.0449984;1.08237981
163.0395191;9.252357305
163.0606485;8.226111558
165.0762985;1.446827147
175.0606485;1.075747852
179.0555631;1.342571807
181.0500838;14.91466195
203.0555631;1.649904447
205.0712131;3.169042853
279.1079926;2.368766622
295.1029072;2.284805328
413.1083865;1.76164842
415.1240366;1.378409047
457.1346012;4.520927554
