m/z;Intensity
45.0334912;1.25883161
55.01784114;1.024152571
71.01275576;0.790887345
73.02840582;1.353497316
107.0491413;1.116938252
115.0389705;0.905153349
117.0546206;0.837320977
123.0440559;3.773601686
133.0495352;1.171147877
135.0440559;0.794726499
149.0597059;1.195044278
151.0389705;2.456804941
151.075356;5.753580026
153.0546206;4.04873751
169.0859207;8.772993685
189.0546206;0.674726313
195.0651853;0.88939176
195.1015708;0.744751421
197.0808353;3.744757973
211.0964854;2.039543951
213.0757499;2.828325966
213.1121354;1.075043418
305.1019647;0.775840132
319.1176147;1.450209492
333.1332648;1.085858145
335.1489149;0.647459938
345.1332648;0.863719642
347.1489149;5.65508754
365.1594796;1.175905458
435.1649589;0.825047586
479.1911736;0.840310367
