m/z;Intensity
45.03403978;1.664504894
57.07042529;2.25836358
59.04968984;2.374995621
73.0289544;2.07360719
75.04460446;1.627333392
83.08607535;1.317855658
85.06533991;7.753438426
111.08099;1.643939308
117.0551691;1.32689319
123.08099;1.384730311
125.09664;2.684254848
133.0500838;3.69583286
141.1279402;6.657736207
145.0500838;1.925628468
147.0657338;2.564570031
151.1122901;3.598210738
161.0449984;1.262675432
163.0606485;4.674718695
163.1122901;1.991865506
165.1279402;1.868389382
167.1072047;2.331651914
167.1435902;1.709895055
189.1279402;1.775388888
191.1435902;14.78878383
193.1592403;1.871582091
195.1748904;1.156403636
197.1905404;1.337541736
209.1541549;17.29934399
339.1291219;1.047347329
353.1964136;1.208527979
443.2281077;1.123989813
