m/z;Intensity
29.03912516;0.701653748
43.01838972;3.920877581
45.03403978;0.710109432
54.03437413;0.821076155
55.01838972;0.661399872
56.05002419;2.850035597
73.0289544;1.370970232
80.97415555;0.592971965
82.02928875;6.430619572
83.01330434;0.554975774
84.04493881;3.838725763
85.0289544;0.964812909
87.04460446;0.84344977
97.04018778;7.017347761
98.98472024;0.913782017
109.0401878;4.482262941
125.0351024;1.407212606
127.0507525;48.28037494
129.0551691;1.399032344
145.0500838;1.634055255
160.9404861;0.529678809
178.9510508;1.209515724
189.1239174;0.604747865
192.9667008;1.065420625
197.0562318;2.392646985
199.0718818;0.624788363
201.0875319;0.618142833
225.0875319;0.972288424
276.9878302;0.699561897
385.0201929;1.28977022
517.0624517;0.597692023
