m/z;Intensity
51.0234751;2.8064713
67.05477522;3.133857003
135.1173755;3.660236804
137.1330255;3.4107342
173.1330255;3.866730594
175.1486756;3.341696547
187.1486756;3.310265701
189.1643257;2.439152672
199.1486756;3.165477818
201.1643257;2.855210785
239.1799757;3.866730594
241.1956258;3.341696547
253.1956258;3.310265701
255.2112759;2.439152672
261.1643257;3.340271487
279.2112759;3.999197236
281.2269259;2.615806912
317.2269259;2.282502722
319.242576;4.125554418
321.2582261;2.357257249
331.242576;3.255898416
333.2582261;2.817820878
345.2582261;3.999197236
347.2738761;2.615806912
383.2738761;2.282502722
385.2895262;4.125554418
387.3051762;2.357257249
397.2895262;3.608413643
399.3051762;5.681396
401.3208263;3.4107342
465.3521264;2.177149365
