m/z;Intensity
41.03912516;2.949463899
53.03912516;3.501718318
57.07042529;1.779625734
67.05477522;5.42569668
69.07042529;3.560056322
181.0653399;2.041802657
199.0759046;2.506855246
203.0708192;2.566682628
217.0864693;2.12928294
231.0657338;5.151786983
233.0813839;2.75000022
239.1072047;8.933860608
241.1228548;1.950105098
245.0813839;2.485025241
245.1177694;2.834727242
259.1334195;4.126465703
271.097034;3.042689458
271.1334195;1.751635463
273.112684;4.808059715
287.1283341;4.406489848
419.1494635;2.021660425
443.185849;1.983640926
445.1651135;1.914464542
457.1651135;1.982766972
459.1807636;5.62717559
459.1807636;5.477568293
461.1964136;2.459394842
461.1964136;3.153066675
473.1964136;1.87616973
503.2069783;2.27286182
543.2382785;2.52920018
