m/z;Intensity
423.1079926;5.160219829
495.1079926;7.281721293
495.1079926;5.120645651
497.1236426;1.856678316
499.1392927;2.394246298
499.1392927;2.394246298
499.1392927;5.937712064
515.1342073;4.41697555
541.1134719;2.089471949
545.144772;2.551151758
545.144772;6.357609713
561.1396866;5.183470518
579.1866368;1.63679791
647.1553367;1.915680201
647.1553367;1.915680201
659.1189512;2.294443956
661.1346012;2.294443956
665.1659014;4.874043223
665.1659014;2.576613501
669.1972015;2.322926814
669.1972015;4.552468982
671.2128516;2.294443956
679.1451659;2.789430887
681.160816;2.00775474
693.160816;2.39150091
695.1764661;1.606354275
709.1557306;1.926083813
721.1557306;1.579587819
723.1713807;3.321431581
725.1870307;2.807630676
817.2132455;4.148533363
