m/z;Intensity
43.01838972;2.824349377
61.0289544;2.530453599
63.04460446;1.030248437
68.99765427;1.364734866
87.00821896;9.332070329
101.023869;1.25290014
105.0187836;3.283034324
109.0289544;5.137528817
129.0187836;1.016688624
135.0446045;1.372933572
137.023869;1.670501611
143.0344337;1.193478449
145.0500838;1.040524743
151.0395191;0.900097547
153.0187836;1.011761092
163.0606485;1.097380586
177.0187836;0.903846092
179.0344337;2.094726614
203.0555631;1.765654171
229.0500838;3.585268985
233.0661278;1.394496916
245.0449984;1.433021135
255.0293483;1.23626612
257.0449984;2.754510629
269.0449984;24.67503769
271.0606485;1.37379522
285.039913;1.869888059
287.0555631;17.5406614
291.0868632;1.162272306
293.1025133;1.162272306
517.0982157;0.989596244
