m/z;Intensity
51.0234751;0.968767102
65.03912516;7.358650448
67.01838972;1.06083014
67.05477522;4.025572215
81.03403978;1.327700817
91.01838972;1.60575717
93.03403978;2.823274158
95.04968984;2.228328024
107.0496898;3.999507078
109.0289544;1.384351638
113.0602545;0.60749755
115.0759046;0.667148004
117.0915547;0.667148004
121.0289544;16.7650192
123.0446045;29.14514738
125.0602545;8.048046384
127.0759046;0.775337246
129.0915547;1.464440517
131.1072047;1.464440517
137.023869;1.166834286
147.0446045;0.960647209
213.0551691;0.789019281
251.0344337;0.85683764
269.0449984;0.911532127
403.0817778;0.721339613
465.1185573;0.607984383
529.1134719;0.753148615
531.1291219;0.748836764
531.1291219;0.748836764
533.144772;1.002423956
573.1396866;4.345595766
