m/z;Intensity
109.0289544;2.590422604
123.0446045;9.690399306
125.0602545;1.442516917
137.023869;3.080150841
137.0602545;1.829686275
139.0395191;3.254331919
147.0446045;1.254677862
151.0395191;2.154673093
229.0500838;1.755233596
243.0657338;19.11585079
245.0813839;3.317466047
257.0449984;1.341712049
259.0606485;9.409416066
269.0449984;1.374167377
275.0555631;1.353256867
287.0555631;3.31910914
289.0712131;4.554870325
299.0555631;4.318362946
301.0712131;3.621926328
395.1130779;2.020386701
409.0923425;1.287326432
419.0766924;1.505824585
439.1029072;1.831916209
439.1029072;1.233769732
441.1185573;1.699335818
453.1185573;1.313174356
491.0978218;1.306216796
517.1134719;1.706665845
519.1291219;1.696895015
561.1396866;3.494580055
561.1396866;2.125678107
