m/z;Intensity
43.01838972;12.37086399
45.03403978;2.868730152
55.01838972;1.34553444
57.03403978;1.24363877
59.01330434;2.092544851
73.0289544;4.503977504
87.00821896;2.018596481
89.02386902;1.951564754
101.023869;1.837935065
103.0395191;3.210998186
127.0759046;1.9846015
129.0915547;3.251926983
131.1072047;3.251926983
145.0500838;3.912432007
147.0657338;3.529648875
155.1072047;1.266791193
157.1228548;1.266791193
163.0606485;22.98586304
165.0762985;4.118467326
285.0974279;1.547880747
287.1130779;1.271544293
289.128728;1.671046841
291.1443781;1.702088403
327.2171491;1.254185573
329.2327992;1.254185573
331.2484492;1.254185573
457.2801433;2.516083778
459.2957933;2.516083778
563.3067519;1.247353516
585.3274874;2.296563711
603.3380521;2.455964916
